year,month,product,district,price
2021,yanvar,Qovoq,Yakkasaroy,3125.0
2021,yanvar,Qovoq,Yangihayot,0.0
2021,yanvar,Qovoq,Chilonzor,3100.0
2021,yanvar,Qovoq,Mirzo Ulug'bek,3625.0
2021,yanvar,Qovoq,Olmazor,4854.166675
2021,yanvar,Qovoq,Sirg'ali,5950.0
2021,yanvar,Qovoq,Shayxontoxur,3541.666675
2021,yanvar,Qovoq,Uchtepa,2875.0
2021,yanvar,Qovoq,Yashnobod,1416.66665
2021,yanvar,Qovoq,Yunusobod,3750.0
2021,yanvar,Qovoq,Shahar bo'yicha,3740.5303000000004
2021,yanvar,Qovun,Bektemir,4687.5
2021,yanvar,Qovun,Mirobod,4500.0
2021,yanvar,Qovun,Yakkasaroy,0.0
2021,yanvar,Qovun,Yangihayot,0.0
2021,yanvar,Qovun,Chilonzor,7500.0
2021,yanvar,Qovun,Mirzo Ulug'bek,0.0
2021,yanvar,Qovun,Olmazor,0.0
2021,yanvar,Qovun,Sirg'ali,0.0
2021,yanvar,Qovun,Shayxontoxur,0.0
2021,yanvar,Qovun,Uchtepa,0.0
2021,yanvar,Qovun,Yashnobod,2000.0
2021,yanvar,Qovun,Yunusobod,0.0
2021,yanvar,Qovun,Shahar bo'yicha,5505.208325
2021,yanvar,Qo'y go'shti,Bektemir,65600.0
2021,yanvar,Qo'y go'shti,Mirobod,65600.0
2021,yanvar,Qo'y go'shti,Yakkasaroy,69964.2857
2021,yanvar,Qo'y go'shti,Yangihayot,0.0
2021,yanvar,Qo'y go'shti,Chilonzor,67357.14285
2021,yanvar,Qo'y go'shti,Mirzo Ulug'bek,70000.0
2021,yanvar,Qo'y go'shti,Olmazor,65750.0
2021,yanvar,Qo'y go'shti,Sirg'ali,68083.33335
2021,yanvar,Qo'y go'shti,Shayxontoxur,64687.5
2021,yanvar,Qo'y go'shti,Uchtepa,65900.0
2021,yanvar,Qo'y go'shti,Yashnobod,68875.0
2021,yanvar,Qo'y go'shti,Yunusobod,67357.14285
2021,yanvar,Qo'y go'shti,Shahar bo'yicha,67337.4504
2021,yanvar,Loviya,Bektemir,14000.0
2021,yanvar,Loviya,Mirobod,14300.0
2021,yanvar,Loviya,Yakkasaroy,14375.000025
2021,yanvar,Loviya,Yangihayot,0.0
2021,yanvar,Loviya,Chilonzor,14852.67855
2021,yanvar,Loviya,Mirzo Ulug'bek,15500.0
2021,yanvar,Loviya,Olmazor,14395.83335
2021,yanvar,Loviya,Sirg'ali,15000.0
2021,yanvar,Loviya,Shayxontoxur,15333.3333
2021,yanvar,Loviya,Uchtepa,14700.0
2021,yanvar,Loviya,Yashnobod,12566.66665
2021,yanvar,Loviya,Yunusobod,16250.0
2021,yanvar,Loviya,Shahar bo'yicha,14486.681525
2021,yanvar,Makaron,Bektemir,9056.25
2021,yanvar,Makaron,Mirobod,7912.5
2021,yanvar,Makaron,Yakkasaroy,10800.0
2021,yanvar,Makaron,Yangihayot,0.0
2021,yanvar,Makaron,Chilonzor,10050.0
2021,yanvar,Makaron,Mirzo Ulug'bek,12928.5714
2021,yanvar,Makaron,Olmazor,8092.0139
2021,yanvar,Makaron,Sirg'ali,8970.83335
2021,yanvar,Makaron,Shayxontoxur,9650.0
2021,yanvar,Makaron,Uchtepa,10518.75
2021,yanvar,Makaron,Yashnobod,8282.5
2021,yanvar,Makaron,Yunusobod,9840.0
2021,yanvar,Makaron,Shahar bo'yicha,9736.05775
2021,yanvar,Mol go'shti,Bektemir,62594.44445
2021,yanvar,Mol go'shti,Mirobod,64683.33335
2021,yanvar,Mol go'shti,Yakkasaroy,66518.75
2021,yanvar,Mol go'shti,Yangihayot,0.0
2021,yanvar,Mol go'shti,Chilonzor,62951.388900000005
2021,yanvar,Mol go'shti,Mirzo Ulug'bek,62053.57145
2021,yanvar,Mol go'shti,Olmazor,68250.0
2021,yanvar,Mol go'shti,Sirg'ali,69027.77780000001
2021,yanvar,Mol go'shti,Shayxontoxur,63750.0
2021,yanvar,Mol go'shti,Uchtepa,67269.23074999999
2021,yanvar,Mol go'shti,Yashnobod,64671.42855
2021,yanvar,Mol go'shti,Yunusobod,70375.0
2021,yanvar,Mol go'shti,Shahar bo'yicha,65568.0295
2021,yanvar,Mosh,Bektemir,14500.0
2021,yanvar,Mosh,Mirobod,14750.0
2021,yanvar,Mosh,Yakkasaroy,13025.0
2021,yanvar,Mosh,Yangihayot,0.0
2021,yanvar,Mosh,Chilonzor,12600.0
2021,yanvar,Mosh,Mirzo Ulug'bek,13500.0
2021,yanvar,Mosh,Olmazor,12625.0
2021,yanvar,Mosh,Sirg'ali,13655.0
2021,yanvar,Mosh,Shayxontoxur,13593.75
2021,yanvar,Mosh,Uchtepa,13450.0
2021,yanvar,Mosh,Yashnobod,14424.9999875
2021,yanvar,Mosh,Yunusobod,13100.0
2021,yanvar,Mosh,Shahar bo'yicha,13637.395825
2021,yanvar,Nok,Bektemir,23312.5
2021,yanvar,Nok,Mirobod,30000.0
2021,yanvar,Nok,Yakkasaroy,23642.8571
2021,yanvar,Nok,Yangihayot,0.0
2021,yanvar,Nok,Chilonzor,25312.5
2021,yanvar,Nok,Mirzo Ulug'bek,27166.6667
2021,yanvar,Nok,Olmazor,23475.0
2021,yanvar,Nok,Sirg'ali,25875.0
2021,yanvar,Nok,Shayxontoxur,20000.0
2021,yanvar,Nok,Uchtepa,24875.0
2021,yanvar,Nok,Yashnobod,25858.333325
2021,yanvar,Nok,Yunusobod,31000.0
2021,yanvar,Nok,Shahar bo'yicha,25531.3492
2021,yanvar,No'xat,Bektemir,10000.0
2021,yanvar,No'xat,Mirobod,15244.444449999999
2021,yanvar,No'xat,Yakkasaroy,16100.0
2021,yanvar,No'xat,Yangihayot,0.0
2021,yanvar,No'xat,Chilonzor,14650.0
2021,yanvar,No'xat,Mirzo Ulug'bek,12100.0
2021,yanvar,No'xat,Olmazor,13857.142875
2021,yanvar,No'xat,Sirg'ali,8925.0
2021,yanvar,No'xat,Shayxontoxur,12150.0
2021,yanvar,No'xat,Uchtepa,11125.0
2021,yanvar,No'xat,Yashnobod,12396.428549999999
2021,yanvar,No'xat,Yunusobod,12850.0
2021,yanvar,No'xat,Shahar bo'yicha,12649.53705
2021,yanvar,Oliy navli bug'doy uni,Bektemir,6755.5556
2021,yanvar,Oliy navli bug'doy uni,Mirobod,6780.0
2021,yanvar,Oliy navli bug'doy uni,Yakkasaroy,7433.3333
2021,yanvar,Oliy navli bug'doy uni,Yangihayot,0.0
2021,yanvar,Oliy navli bug'doy uni,Chilonzor,6912.5
2021,yanvar,Oliy navli bug'doy uni,Mirzo Ulug'bek,7375.0
2021,yanvar,Oliy navli bug'doy uni,Olmazor,6439.7186249999995
2021,yanvar,Oliy navli bug'doy uni,Sirg'ali,7206.25
2021,yanvar,Oliy navli bug'doy uni,Shayxontoxur,6883.8384
2021,yanvar,Oliy navli bug'doy uni,Uchtepa,6693.75
2021,yanvar,Oliy navli bug'doy uni,Yashnobod,7111.651775
2021,yanvar,Oliy navli bug'doy uni,Yunusobod,7111.1111
